title,odometer,location,isimported,engine,transmission,fuel,paint,price,year
Mercedes-Benz ML 350,144717,Lagos,Foreign Used,6-cylinder(V6),automatic,petrol,Black,12015000,2012
Lexus GX 460,32021,Lagos,Foreign Used,6-cylinder(I6),automatic,petrol,Sliver,16215000,2015
Toyota Camry,3115,Lagos,Foreign Used,4-cylinder(I4),automatic,petrol,Black,22115000,2020
Toyota Sienna,180894,Lagos,Locally used,6-cylinder(V6),automatic,petrol,Dark Grey,1060000,2001
Toyota Camry,164217,Lagos,Foreign Used,4-cylinder(I4),automatic,petrol,Gold,2105000,2006
Toyota Camry,59487,Lagos,Foreign Used,4-cylinder(I4),automatic,petrol,Black,4515000,2015
Mitsubishi Pajero,128750,Lagos,Locally used,6-cylinder(I6),automatic,petrol,Dark Grey,785000,2001
Ford Escape,107856,Lagos,Foreign Used,6-cylinder(I6),automatic,petrol,Black,3715000,2014
Toyota Camry,18530,Lagos,Foreign Used,4-cylinder(I4),automatic,petrol,Red,16015000,2018
Mercedes-Benz G 63 AMG,18297,Lagos,Foreign Used,8-cylinder(V8),automatic,petrol,Black,62015000,2016
Mazda Tribute,188971,Lagos,Foreign Used,4-cylinder(I4),automatic,petrol,Grey,2065000,2005
Toyota Avalon,135800,Lagos,Foreign Used,6-cylinder(V6),automatic,petrol,Grey,1615000,2004
Mercedes-Benz S 550,70800,Lagos,Locally used,8-cylinder(V8),automatic,petrol,Black,11015000,2012
Mercedes-Benz GLC 300,46012,Lagos,Foreign Used,6-cylinder(I6),automatic,petrol,Grey,18715000,2016
Mercedes-Benz ML 350,83000,Lagos,Foreign Used,6-cylinder(I6),automatic,petrol,Black,12115000,2013
Lexus RX 350,145978,Abuja,Locally used,6-cylinder(V6),automatic,petrol,Blue,3415000,2008
Volkswagen Passat,179515,Lagos,Locally used,4-cylinder(I4),manual,petrol,Grey,415000,2003
Ford Transit,0,Lagos,Locally used,4-cylinder(I4),manual,diesel,white,1855000,2006
IVECO EUROTECH 7.50E-16,111817,Lagos,Locally used,4-cylinder(I4),manual,diesel,white,6015000,2001
Toyota Coaster,0,Lagos,Locally used,4-cylinder(I4),manual,diesel,yellow,16690000,2014
Scania TRACTOR HEAD,0,Lagos,Locally used,6-cylinder(I6),manual,diesel,white,9215000,2008
Volvo FL6,0,Lagos,Locally used,6-cylinder(I6),manual,diesel,white,6915000,1996
IVM LT35,0,Lagos,Locally used,4-cylinder(I4),manual,diesel,blue,2890000,2003
Scania P94 FLATBED,0,Lagos,Locally used,6-cylinder(I6),manual,diesel,red,5360000,1999
MAN-VOLKSWAGEN FLATBED,0,Lagos,Locally used,6-cylinder(V6),manual,diesel,white,6340000,2008
Ford Transit,0,Lagos,Locally used,4-cylinder(I4),manual,diesel,white,1855000,2005
Nissan Cabstar,259575,Lagos,Locally used,4-cylinder(I4),manual,diesel,white,665000,1994
DAF 45,726335,Lagos,Locally used,6-cylinder(V6),manual,diesel,Black,4515000,2000
Kia Stinger,99303,Lagos,Locally used,4-cylinder(I4),manual,diesel,white,4015000,2006
Iveco TRUCK,0,Lagos,Locally used,6-cylinder(I6),manual,diesel,white,5595000,2006
Volvo FH12,0,Lagos,Locally used,8-cylinder(V8),manual,diesel,blue,11015000,1994
Volvo FL7,0,Lagos,Locally used,6-cylinder(I6),manual,diesel,white,8640000,1993
Mitsubishi CANTER PICK UP,0,Lagos,Locally used,4-cylinder(I4),manual,diesel,green,5535000,2006
Ford TRANSIT PICKUP,0,Lagos,Locally used,4-cylinder(I4),manual,diesel,white,4015000,2012
Scania TRACTOR HEAD,0,Lagos,Locally used,6-cylinder(I6),manual,diesel,white,9215000,2005
Mercedes-Benz CLA 250,15904,Lagos,Foreign Used,6-cylinder(I6),automatic,petrol,White,13140000,2016
Hyundai Santa Fe,323316,Lagos,Foreign Used,6-cylinder(I6),automatic,petrol,Dark Grey,3865000,2008
Mercedes-Benz E 350,42009,Lagos,Locally used,6-cylinder(V6),automatic,petrol,Black,11015000,2014
Lexus IS 250,92408,Lagos,Foreign Used,6-cylinder(V6),automatic,petrol,Silver,3110000,2007
Toyota Camry,258528,Lagos,Foreign Used,4-cylinder(I4),automatic,petrol,Dark Grey,2765000,2011
Nissan Murano,0,Lagos,Locally used,6-cylinder(V6),automatic,petrol,Silver,730000,2005
Mercedes-Benz GL 450,100605,Lagos,Foreign Used,4-cylinder(I4),automatic,petrol,White,10515000,2013
Toyota C-HR,15427,Lagos,Foreign Used,4-cylinder(I4),automatic,petrol,Red,13215000,2018
Toyota Camry,123641,Lagos ,Foreign Used,5-cylinder(I5),automatic,petrol,Dark silver ,5515000,2014
Kia Cerato,190621,Lagos,Locally used,4-cylinder(I4),automatic,petrol,Black,1275000,2012
Mercedes-Benz E 350,44569,Ogun,Foreign Used,6-cylinder(V6),automatic,petrol,White,5790000,2012
Toyota Venza,50547,Ogun,Foreign Used,6-cylinder(V6),automatic,petrol,Black,6000000,2013
Toyota Highlander,141956,Ogun,Foreign Used,6-cylinder(V6),automatic,petrol,Blue,2535000,2005
Mercedes-Benz E 350,141032,Ogun,Foreign Used,6-cylinder(V6),automatic,petrol,Black,5790000,2012
Honda Crosstour,111950,Ogun,Locally used,4-cylinder(I4),automatic,petrol,Black,2640000,2010
Kia Picanto,69416,Ogun,Locally used,3-cylinder(I3),automatic,petrol,Gold,1275000,2013
Toyota Camry,222329,Lagos,Locally used,4-cylinder(I4),automatic,petrol,Black,1815000,2009
Land Rover Discovery,13687,Lagos,Foreign Used,8-cylinder(V8),automatic,petrol,Green,110265000,2019
Land Rover Discovery,26195,Lagos,Foreign Used,8-cylinder(V8),automatic,petrol,Green,31515000,2017
Toyota Corolla,16342,Lagos State,Foreign Used,4-cylinder(I4),automatic,petrol,Black,5265000,2016
Toyota Corolla,175025,Lagos,Locally used,4-cylinder(I4),automatic,petrol,Silver,1995000,2009
Toyota Corolla,186151,Abuja,Foreign Used,4-cylinder(I4),manual,petrol,Silver,1665000,2004
Honda Civic,134800,Abuja,Locally used,4-cylinder(I4),automatic,petrol,Black,1965000,2008
Toyota Corolla,253516,Abuja,Foreign Used,4-cylinder(I4),automatic,petrol,Grey,2465000,2004
Honda Crosstour,156135,Adamawa ,Locally used,6-cylinder(V6),automatic,petrol,Black,2715000,2010
Mercedes-Benz E 350,6297,Lagos,Foreign Used,6-cylinder(V6),automatic,petrol,White,3615000,2009
Toyota Sienna,167457,Lagos,Foreign Used,6-cylinder(I6),automatic,petrol,Blue,2765000,2005
Honda Pilot,158855,Lagos,Foreign Used,6-cylinder(I6),automatic,petrol,Gold,3815000,2009
Lexus IS 250,115422,Lagos,Locally used,6-cylinder(I6),automatic,petrol,Black,2850000,2007
Toyota Camry,153760,Lagos,Locally used,4-cylinder(I4),automatic,petrol,Dark Grey,1215000,2002
Honda Accord,76989,Lagos,Foreign Used,6-cylinder(I6),automatic,petrol,Dark Grey,2115000,2007
Lexus RX 350,127,Lagos,Foreign Used,6-cylinder(I6),automatic,petrol,Black,8940000,2011
Toyota Corolla,85827,Abuja,Foreign Used,4-cylinder(I4),automatic,petrol,Dark Ash,2325000,2004
Toyota Highlander,111517,Lagos,Locally used,6-cylinder(V6),automatic,petrol,Black,3515000,2008
Toyota Corolla,10319,Lagos,Foreign Used,4-cylinder(I4),automatic,petrol,Grey,6315000,2016
Toyota Highlander,121611,Lagos,Foreign Used,6-cylinder(V6),automatic,petrol,Silver,6315000,2010
Hyundai Azera,145486,Lagos,Foreign Used,6-cylinder(V6),automatic,petrol,Red,5265000,2013
Toyota Land Cruiser,99528,Lagos,Locally used,8-cylinder(V8),automatic,petrol,Black,11565000,2007
Mercedes-Benz E 320,153224,Lagos,Foreign Used,6-cylinder(I6),automatic,petrol,Silver ,1665000,2005
Toyota Highlander,88968,other,Locally used,6-cylinder(I6),automatic,petrol,Blue,2065000,2005
Lexus LX 570,20921,Lagos,Foreign Used,4-cylinder(I4),automatic,petrol,Black,50415000,2018
Toyota Camry,36744,Lagos,Foreign Used,4-cylinder(I4),automatic,petrol,Black,4215000,2014
Mercedes-Benz ML 350,195268,Lagos,Foreign Used,6-cylinder(I6),automatic,petrol,Sliver,3690000,2006
Lexus RX 300,287551,Lagos,Locally used,6-cylinder(V6),automatic,petrol,White,1115000,2002
Toyota RAV 4,113463,Lagos,Foreign Used,4-cylinder(I4),automatic,petrol,Red,3715000,2008
Toyota Corolla,279634,Lagos,Foreign Used,4-cylinder(I4),automatic,petrol,Red,2415000,2007
Lexus IS 250,56242,Lagos,Locally used,6-cylinder(V6),automatic,petrol,Black,2535000,2007
Toyota Camry,99254,Abuja,Foreign Used,4-cylinder(I4),automatic,petrol,Grey,3515000,2011
Toyota RAV 4,136890,Ogun,Foreign Used,4-cylinder(I4),automatic,petrol,Cream ,2270000,2004
Acura TL,195268,Lagos,Foreign Used,6-cylinder(V6),automatic,petrol,Grey,2115000,2005
Hyundai Elantra,35356,Lagos,Locally used,4-cylinder(I4),automatic,petrol,Cream,3115000,2016
Lexus GX 460,17576,Lagos,Foreign Used,8-cylinder(V8),automatic,petrol,White,29015000,2019
Mitsubishi Montero,192374,Lagos,Foreign Used,6-cylinder(V6),automatic,petrol,Red,2640000,2003
Toyota Matrix,253339,Lagos,Foreign Used,4-cylinder(I4),manual,petrol,Blue,2535000,2009
Land Rover Range Rover,143754,Lagos,Foreign Used,8-cylinder(V8),automatic,petrol,Black,5055000,2008
Toyota Tacoma,105449,Lagos,Foreign Used,6-cylinder(I6),automatic,petrol,Gold,6000000,2006
BMW 740,14565,Lagos,Foreign Used,6-cylinder(I6),automatic,petrol,Black,42015000,2015
Toyota RAV 4,183059,Lagos,Locally used,6-cylinder(I6),automatic,petrol,Gold,1885000,2009
Toyota RAV 4,156511,Lagos,Locally used,4-cylinder(I4),automatic,petrol,Light blue,1890000,2008
Toyota Camry,61287,Lagos,Foreign Used,4-cylinder(I4),automatic,petrol,Super White,3215000,2009
Toyota Highlander,208969,Lagos,Locally used,6-cylinder(V6),automatic,petrol,Black,2600000,2008
Hyundai Tucson,87510,Lagos,Foreign Used,6-cylinder(I6),automatic,petrol,Black,2545000,2006
Hyundai Elantra,123818,Lagos,Foreign Used,4-cylinder(I4),automatic,petrol,Black,2435000,2011
Toyota Matrix,66448,Lagos,Foreign Used,4-cylinder(I4),automatic,petrol,Black,3215000,2011
Toyota Corolla,7051,Lagos,Foreign Used,4-cylinder(I4),automatic,petrol,Red,7215000,2017
Toyota Highlander,0,Lagos,Foreign Used,4-cylinder(I4),automatic,petrol,Grey,5075000,2009
Toyota Highlander,97532,Lagos,Foreign Used,4-cylinder(I4),automatic,petrol,Gold,4855000,2008
Toyota Camry,63329,Lagos,Foreign Used,4-cylinder(I4),automatic,petrol,Light Grey,7715000,2017
Mercedes-Benz C 300,56125,Lagos,Foreign Used,4-cylinder(I4),automatic,petrol,Dark Blue,14865000,2016
Toyota Highlander,89289,Lagos,Foreign Used,6-cylinder(V6),automatic,petrol,Dark Grey,6175000,2008
Toyota Camry,234235,Lagos,Foreign Used,6-cylinder(V6),automatic,petrol,Blue,3205000,2007
Ford Fusion,1775588,Lagos ,Foreign Used,4-cylinder(I4),automatic,petrol,Black,2015000,2009
Lexus GX 460,52708,Lagos,Foreign Used,8-cylinder(V8),automatic,petrol,Grey,12515000,2015
Toyota Camry,211407,Lagos,Foreign Used,4-cylinder(I4),automatic,petrol,White,3015000,2011
Toyota Camry,142333,Lagos,Foreign Used,4-cylinder(I4),automatic,petrol,Black ,4015000,2011
Lexus RX 350,117274,Lagos,Foreign Used,6-cylinder(V6),automatic,petrol,Gold,4715000,2008
Lexus RX 350,56713,Lagos,Foreign Used,6-cylinder(I6),automatic,petrol,Silver,11515000,2015
Mercedes-Benz GLK 350,133295,Lagos,Foreign Used,4-cylinder(I4),automatic,petrol,White,7040000,2010
Toyota Venza,52442,Lagos,Foreign Used,4-cylinder(I4),automatic,petrol,Red,8815000,2014
Toyota 4-Runner,108410,Lagos,Foreign Used,4-cylinder(I4),automatic,petrol,White,9250000,2013
Acura RDX,143705,Lagos,Foreign Used,4-cylinder(I4),automatic,petrol,Black,5765000,2014
Toyota Land Cruiser,10,Lagos,New ,4-cylinder(I4),automatic,petrol,Black,33015000,2019
Toyota Land Cruiser,42750,Lagos,Foreign Used,4-cylinder(I4),automatic,petrol,Black,28015000,2016
Lexus GX 460,132000,Lagos,Foreign Used,4-cylinder(I4),automatic,petrol,Black,23015000,2016
Toyota Venza,47702,Lagos,Foreign Used,4-cylinder(I4),automatic,petrol,Red,7515000,2015
Lexus ES 350,62125,Lagos,Foreign Used,4-cylinder(I4),automatic,petrol,Black,9315000,2014
Lexus LX 570,24873,Lagos,Foreign Used,4-cylinder(I4),automatic,petrol,Black,50015000,2018
Toyota Camry,151948,Lagos,Foreign Used,4-cylinder(I4),automatic,petrol,Green,2505000,2007
Lexus GX 460,11465,Lagos,Foreign Used,4-cylinder(I4),automatic,petrol,Black,32015000,2017
Lexus LX 570,25141,Lagos,Foreign Used,4-cylinder(I4),automatic,petrol,Blue,50015000,2018
Lexus LX 570,27102,Lagos ,Foreign Used,4-cylinder(I4),automatic,petrol,Silver/grey,43015000,2017
Lexus RX 350,52241,Lagos,Foreign Used,4-cylinder(I4),automatic,petrol,Black,18015000,2016
Hyundai Tucson,67393,Lagos,Locally used,4-cylinder(I4),automatic,petrol,Brown,2515000,2012
Hyundai Azera,145678,Lagos ,Foreign Used,6-cylinder(V6),automatic,petrol,Brown,5500000,2013
Toyota 4-Runner,70000,Lagos,Locally used,8-cylinder(V8),automatic,petrol,Black,10015000,2017
Toyota Camry,120692,Lagos,Foreign Used,4-cylinder(I4),automatic,petrol,Dark Grey,3165000,2009
Toyota Highlander,95445,Lagos,Foreign Used,6-cylinder(I6),automatic,petrol,Gold,4965000,2008
Honda Accord,74971,Lagos,Foreign Used,4-cylinder(I4),automatic,petrol,Silver,1665000,2007
Ford Explorer,30159,Abuja,Foreign Used,6-cylinder(V6),automatic,petrol,Dark Grey,6715000,2012
Honda Civic,253152,Ogun,Locally used,4-cylinder(I4),manual,petrol,Dark blue ,510000,2001
Honda Civic,145230,Ogun,Locally used,4-cylinder(I4),manual,petrol,Black,400000,2001
Toyota RAV 4,140547,Lagos,Locally used,4-cylinder(I4),automatic,petrol,Blue,1215000,2004
Toyota Highlander,189463,Lagos,Foreign Used,6-cylinder(I6),automatic,petrol,Indigo ink pearl,2615000,2005
Toyota Tundra,38980,Lagos,Locally used,8-cylinder(V8),automatic,petrol,Brown,17340000,2016
Mercedes-Benz G 63 AMG,20,Lagos,New ,8-cylinder(V8),automatic,petrol,Black,108690000,2019
Honda CR-V,104029,Lagos,Locally used,4-cylinder(I4),automatic,petrol,Black,2215000,2009
Ford Edge,107127,Lagos,Locally used,6-cylinder(I6),automatic,petrol,Dark Blue,2515000,2012
Lexus IS 250,235804,Lagos,Locally used,6-cylinder(V6),automatic,petrol,black,2215000,2007
Toyota Tacoma,71192,Abuja,Foreign Used,6-cylinder(V6),automatic,petrol,Silver,4815000,2006
Honda Accord,235471,Ogun,Locally used,4-cylinder(I4),automatic,petrol,Dark Blue,515000,2003
Nissan Pathfinder,146707,Lagos,Locally used,6-cylinder(I6),automatic,petrol,Grey ,675000,2001
Toyota Camry,175301,Lagos,Foreign Used,4-cylinder(I4),automatic,petrol,Classic Silver Met(1F7),3515000,2010
Ford Focus,107576,Abia State,Locally used,4-cylinder(I4),automatic,petrol,Black ,1012500,2011
Toyota Corolla,132676,Arepo ogun state ,Foreign Used,4-cylinder(I4),automatic,petrol,Blue ,2902500,2010
Chevrolet Traverse,94653,Ogun State,Locally used,6-cylinder(I6),automatic,petrol,Grey ,4005000,2010
Nissan Xterra,113115,Ogun,Locally used,6-cylinder(I6),automatic,petrol,Grey ,1485000,2001
Honda CR-V,184923,Lagos,Locally used,4-cylinder(I4),automatic,petrol,Gold,1565000,2008
Mercedes-Benz GLK 350,45220,Lagos,Foreign Used,6-cylinder(I6),automatic,petrol,Black,9145000,2013
Toyota Corolla,154070,Lagos,Locally used,4-cylinder(I4),automatic,petrol,Silver,1775000,2005
Toyota Corolla,121483,Lagos,Foreign Used,4-cylinder(I4),automatic,petrol,Silver,2765000,2009
Toyota Camry,133913,Lagos,Locally used,6-cylinder(V6),automatic,petrol,Black,965000,2002
Toyota Highlander,102908,Lagos,Foreign Used,6-cylinder(V6),automatic,petrol,Gold,4715000,2008
Lexus IS 250,145184,Lagos,Locally used,6-cylinder(I6),automatic,petrol,Red,2655000,2006
Toyota Camry,204396,Lagos,Foreign Used,4-cylinder(I4),automatic,petrol,Black ,1940000,2004
Land Rover Range Rover Sport,91321,Lagos,Locally used,8-cylinder(V8),automatic,petrol,White,6515000,2012
Toyota Highlander,225126,Lagos,Locally used,6-cylinder(V6),automatic,petrol,Red,1665000,2003
Toyota Corolla,85485,Lagos,Foreign Used,4-cylinder(I4),automatic,petrol,Yellow,3205000,2010
Honda Civic,68591,Lagos,Locally used,4-cylinder(I4),automatic,petrol,Black,515000,2001
Honda Accord,194634,Lagos,Foreign Used,6-cylinder(I6),automatic,petrol,Silver,1715000,2004
Toyota Sienna,221396,Lagos,Locally used,4-cylinder(I4),automatic,petrol,Dark Grey,1900000,2004
Honda Accord,29938,Abuja,Foreign Used,4-cylinder(I4),automatic,petrol,White,5015000,2013
Toyota Camry,3656,Abuja,Foreign Used,4-cylinder(H4),automatic,petrol,Silver,20015000,2020
Toyota Camry,192395,Lagos,Foreign Used,4-cylinder(I4),automatic,petrol,Grey,3007500,2007
Toyota Highlander,86305,Lagos,Foreign Used,6-cylinder(I6),automatic,petrol,Black ,3715000,2005
Volkswagen Passat,180869,Lagos,Locally used,4-cylinder(I4),automatic,petrol,Black,400000,2001
Mercedes-Benz Maybach,6758,Lagos,New ,12-cylinder(V12),automatic,petrol,Black,167015008,2019
Land Rover Range Rover Sport,18720,Lagos,Foreign Used,8-cylinder(V8),automatic,petrol,Grey,117015000,2019
Toyota Avalon,83,Lagos,New ,6-cylinder(V6),automatic,petrol,Black,38015000,2019
Honda Civic,140260,Abuja,Locally used,4-cylinder(I4),automatic,petrol,Black,2085000,2012
Honda Accord,53713,Abuja,Foreign Used,4-cylinder(I4),automatic,petrol,Blue,6015000,2015
Lexus LX 570,78047,Abuja,Foreign Used,8-cylinder(V8),automatic,petrol,Silver,17015000,2013
Peugeot 206,28521,Abuja,Foreign Used,4-cylinder(I4),automatic,petrol,Sky blue,1275000,2001
Mercedes-Benz GLK 350,229800,Lagos,Locally used,6-cylinder(V6),automatic,petrol,Black,5515000,2012
Lexus GX 470,81463,Lagos,Foreign Used,4-cylinder(I4),automatic,petrol,Mint green,4740000,2003
Lexus RX 350,38221,Lagos,Foreign Used,4-cylinder(I4),automatic,petrol,White,16290000,2016
Toyota Corolla,60499,Lagos,Foreign Used,4-cylinder(I4),automatic,petrol,Black,4005000,2012
Toyota Corolla,76233,Lagos,Foreign Used,4-cylinder(I4),automatic,petrol,Gold,3060000,2009
Toyota Sienna,82113,Lagos,Foreign Used,6-cylinder(V6),automatic,petrol,Silver,6065000,2011
Toyota Corolla,127850,Lagos,Locally used,4-cylinder(I4),automatic,petrol,Black,1315000,2003
Toyota Camry,45268,Lagos,Foreign Used,4-cylinder(I4),automatic,petrol,Black,11515000,2018
Mercedes-Benz GLK 350,101552,Lagos,Foreign Used,6-cylinder(I6),automatic,petrol,Black,9915000,2013
Toyota Highlander,85233,Lagos,Foreign Used,4-cylinder(I4),automatic,petrol,White orchild pearl,5790000,2010
Toyota Highlander,80578,Lagos,Foreign Used,4-cylinder(I4),automatic,petrol,Red,3375000,2005
Toyota Sienna,85244,Lagos,Foreign Used,4-cylinder(I4),automatic,petrol,Silver,2850000,2010
Toyota Sienna,95850,Lagos,Foreign Used,4-cylinder(I4),automatic,petrol,Blue,2850000,2010
Toyota RAV 4,6381,Lagos,Foreign Used,4-cylinder(I4),automatic,petrol,Grey,17130000,2019
Hyundai Elantra,159486,Lagos,Foreign Used,4-cylinder(I4),automatic,petrol,White,4740000,2014
Toyota RAV 4,38264,Lagos,Foreign Used,4-cylinder(I4),automatic,petrol,Silver,10830000,2018
Nissan Murano,133831,Lagos,Locally used,6-cylinder(V6),automatic,petrol,Black,900000,2006
Toyota Highlander,382816,Lagos,Locally used,6-cylinder(V6),automatic,petrol,Light Gold,1775000,2002
Toyota Corolla,53312,Lagos,Foreign Used,4-cylinder(I4),automatic,petrol,Red,4215000,2013
Honda Accord,318836,Lagos,Locally used,6-cylinder(V6),automatic,petrol,Black,715000,2005
Toyota Sienna,169544,Lagos,Foreign Used,6-cylinder(V6),automatic,petrol,Red,2850000,2007
Jeep Wrangler,11165,Lagos,Locally used,6-cylinder(V6),automatic,petrol,Silver,12615000,2009
Lexus RX 350,46667,Lagos,Foreign Used,6-cylinder(V6),automatic,petrol,Blue,7890000,2010
Land Rover Range Rover,128010,Lagos,Locally used,6-cylinder(V6),automatic,petrol,Black,3215000,2008
BMW 750,82967,Lagos,Foreign Used,8-cylinder(V8),automatic,petrol,Black,6630000,2009
Lexus LX 570,50,Lagos,New ,4-cylinder(I4),automatic,petrol,Black,71415000,2020
Lexus LX 570,189,Lagos,New ,4-cylinder(I4),automatic,petrol,Silver,79815000,2020
Toyota Camry,98717,Abuja,Locally used,4-cylinder(I4),automatic,petrol,Gold,695000,1997
Toyota Highlander,118735,Lagos,Locally used,6-cylinder(V6),automatic,petrol,Blue,1720000,2006
Toyota RAV 4,81505,Lagos,Foreign Used,4-cylinder(I4),automatic,petrol,Blue,3900000,2011
Toyota Camry,137271,Abuja,Foreign Used,4-cylinder(I4),automatic,petrol,Black,5015000,2014
Peugeot 607,159448,Abuja,Foreign Used,6-cylinder(I6),automatic,petrol,Blue,2085000,2009
Toyota Camry,128750,Lagos,Foreign Used,4-cylinder(I4),automatic,petrol,Black,3205000,2011
Honda Pilot,74203,Lagos,Foreign Used,6-cylinder(V6),automatic,petrol,White,1867500,2003
Porsche Panamera,72441,Abuja,Locally used,6-cylinder(V6),automatic,petrol,Blue,10515000,2011
Ford Explorer,108597,Abuja,Foreign Used,6-cylinder(V6),automatic,petrol,Black,8015000,2013
